spatial_unit_id,sw_hw,FoliageFallRate,StemAnnualTurnoverRate,BranchTurnoverRate,CoarseRootTurnProp,FineRootTurnProp,OtherToBranchSnagSplit,CoarseRootAGSplit,FineRootAGSplit,StemSnag,BranchSnag
1,sw,0.10000000149011612,0.004999999888241291,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
3,sw,0.05000000074505806,0.006000000052154064,0.029999999329447746,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
4,sw,0.10000000149011612,0.004999999888241291,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
5,sw,0.15000000596046448,0.0066999997943639755,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
6,sw,0.15000000596046448,0.0066999997943639755,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
7,sw,0.15000000596046448,0.0066999997943639755,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
11,sw,0.15000000596046448,0.0066999997943639755,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
12,sw,0.15000000596046448,0.0066999997943639755,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
13,sw,0.10000000149011612,0.004999999888241291,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
14,sw,0.05000000074505806,0.006000000052154064,0.029999999329447746,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
15,sw,0.10000000149011612,0.004999999888241291,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
16,sw,0.10000000149011612,0.004999999888241291,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
17,sw,0.15000000596046448,0.0066999997943639755,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
18,sw,0.10000000149011612,0.004999999888241291,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
19,sw,0.10000000149011612,0.004999999888241291,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
21,sw,0.05000000074505806,0.006000000052154064,0.029999999329447746,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
22,sw,0.10000000149011612,0.004999999888241291,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
23,sw,0.10000000149011612,0.004999999888241291,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
24,sw,0.15000000596046448,0.006000000052154064,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
25,sw,0.10000000149011612,0.004999999888241291,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
26,sw,0.05000000074505806,0.006000000052154064,0.029999999329447746,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
27,sw,0.10000000149011612,0.004999999888241291,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
28,sw,0.10000000149011612,0.004999999888241291,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
29,sw,0.15000000596046448,0.006000000052154064,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
30,sw,0.15000000596046448,0.006000000052154064,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
31,sw,0.05000000074505806,0.006000000052154064,0.029999999329447746,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
32,sw,0.05000000074505806,0.006000000052154064,0.029999999329447746,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
33,sw,0.10000000149011612,0.004999999888241291,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
34,sw,0.10000000149011612,0.004999999888241291,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
35,sw,0.15000000596046448,0.006000000052154064,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
36,sw,0.10000000149011612,0.0044999998062849045,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
37,sw,0.15000000596046448,0.006000000052154064,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
38,sw,0.05000000074505806,0.006000000052154064,0.029999999329447746,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
39,sw,0.10000000149011612,0.004999999888241291,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
40,sw,0.10000000149011612,0.0044999998062849045,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
41,sw,0.15000000596046448,0.006000000052154064,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
42,sw,0.10000000149011612,0.0044999998062849045,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
44,sw,0.05000000074505806,0.006000000052154064,0.029999999329447746,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
