pool,base_decay_rate,reference_temp,q10,prop_to_atmosphere,max_rate
AboveGroundVeryFastSoil,0.35499998927116394,10.0,2.6500000953674316,0.8149999976158142,1.0
BelowGroundVeryFastSoil,0.5,10.0,2.0,0.8299999833106995,1.0
AboveGroundFastSoil,0.14350000023841858,10.0,2.0,0.8299999833106995,1.0
BelowGroundFastSoil,0.14350000023841858,10.0,2.0,0.8299999833106995,1.0
MediumSoil,0.03739999979734421,10.0,2.0,0.8299999833106995,1.0
AboveGroundSlowSoil,0.014999999664723873,10.0,2.6500000953674316,1.0,1.0
BelowGroundSlowSoil,0.0032999999821186066,10.0,1.0,1.0,1.0
StemSnag,0.018699999898672104,10.0,2.0,0.8299999833106995,1.0
BranchSnag,0.07175000011920929,10.0,2.0,0.8299999833106995,1.0
