disturbance_matrix_id,source_pool,sink_pool,proportion
4,MediumSoil,CO,0.0066999997943639755
4,AboveGroundSlowSoil,AboveGroundSlowSoil,0.9670000076293945
4,AboveGroundSlowSoil,CO2,0.026000000536441803
4,AboveGroundSlowSoil,CH4,0.0010000000474974513
4,AboveGroundSlowSoil,CO,0.006000000052154064
4,BelowGroundSlowSoil,BelowGroundSlowSoil,1.0
4,StemSnag,MediumSoil,0.9261199831962585
4,StemSnag,CO2,0.06584999710321426
4,StemSnag,CH4,0.001120000029914081
4,StemSnag,CO,0.0066999997943639755
4,BranchSnag,AboveGroundFastSoil,0.8318600058555603
4,BranchSnag,CO2,0.15087999403476715
4,BranchSnag,CH4,0.0012799999676644802
4,BranchSnag,CO,0.01534000039100647
5,Merch,StemSnag,0.9623000025749207
5,Merch,CO2,0.034370001405477524
5,Merch,CO,0.003220000071451068
5,Foliage,CO2,0.854390025138855
5,Foliage,CH4,0.012029999867081642
5,Foliage,CO,0.1323699951171875
5,Other,BranchSnag,0.9408000111579895
5,Other,CO2,0.05299999937415123
5,Other,CH4,0.0010000000474974513
5,Other,CO,0.004999999888241291
5,CoarseRoots,AboveGroundFastSoil,0.5
5,CoarseRoots,BelowGroundFastSoil,0.5
5,FineRoots,AboveGroundVeryFastSoil,0.4884999990463257
5,FineRoots,BelowGroundVeryFastSoil,0.4884999990463257
5,FineRoots,CO2,0.020999999716877937
5,FineRoots,CO,0.0020000000949949026
5,AboveGroundVeryFastSoil,CO2,0.9980000257492065
5,AboveGroundVeryFastSoil,CO,0.0020000000949949026
5,BelowGroundVeryFastSoil,BelowGroundVeryFastSoil,1.0
5,AboveGroundFastSoil,AboveGroundFastSoil,0.9694399833679199
5,AboveGroundFastSoil,CO2,0.027780000120401382
5,AboveGroundFastSoil,CO,0.0026499999221414328
5,BelowGroundFastSoil,BelowGroundFastSoil,1.0
5,MediumSoil,MediumSoil,0.986519992351532
5,MediumSoil,CO2,0.012360000051558018
5,MediumSoil,CO,0.001120000029914081
5,AboveGroundSlowSoil,AboveGroundSlowSoil,0.9940000176429749
5,AboveGroundSlowSoil,CO2,0.004999999888241291
5,AboveGroundSlowSoil,CO,0.0010000000474974513
5,BelowGroundSlowSoil,BelowGroundSlowSoil,1.0
5,StemSnag,MediumSoil,0.986519992351532
5,StemSnag,CO2,0.012360000051558018
5,StemSnag,CO,0.001120000029914081
5,BranchSnag,AboveGroundFastSoil,0.9694399833679199
5,BranchSnag,CO2,0.027780000120401382
5,BranchSnag,CO,0.0026499999221414328
6,Merch,StemSnag,0.3799799978733063
6,Merch,CO2,0.5560700297355652
6,Merch,CH4,0.006180000025779009
6,Merch,CO,0.05561000108718872
6,Foliage,CO2,0.8411499857902527
6,Foliage,CH4,0.013089999556541443
6,Foliage,CO,0.12764999270439148
6,Other,BranchSnag,0.05829999968409538
6,Other,CO2,0.8100000023841858
6,Other,CH4,0.008999999612569809
6,Other,CO,0.08100000023841858
6,CoarseRoots,AboveGroundFastSoil,0.5
6,CoarseRoots,BelowGroundFastSoil,0.5
6,FineRoots,AboveGroundVeryFastSoil,0.36730000376701355
6,FineRoots,BelowGroundVeryFastSoil,0.36730000376701355
6,FineRoots,CO2,0.2409999966621399
6,FineRoots,CO,0.024000000208616257
6,AboveGroundVeryFastSoil,CO2,0.972599983215332
6,AboveGroundVeryFastSoil,CH4,0.003000000026077032
6,AboveGroundVeryFastSoil,CO,0.024000000208616257
6,BelowGroundVeryFastSoil,BelowGroundVeryFastSoil,1.0
6,AboveGroundFastSoil,AboveGroundFastSoil,0.6704599857330322
6,AboveGroundFastSoil,CO2,0.2952300012111664
6,AboveGroundFastSoil,CH4,0.0036800000816583633
6,AboveGroundFastSoil,CO,0.029400000348687172
6,BelowGroundFastSoil,BelowGroundFastSoil,1.0
6,MediumSoil,MediumSoil,0.8523399829864502
6,MediumSoil,CO2,0.13273000717163086
6,MediumSoil,CH4,0.0011099999537691474
6,MediumSoil,CO,0.013269999995827675
6,AboveGroundSlowSoil,AboveGroundSlowSoil,0.9330000281333923
6,AboveGroundSlowSoil,CO2,0.05400000140070915
6,AboveGroundSlowSoil,CH4,0.0010000000474974513
6,AboveGroundSlowSoil,CO,0.012000000104308128
6,BelowGroundSlowSoil,BelowGroundSlowSoil,1.0
6,StemSnag,MediumSoil,0.8523399829864502
6,StemSnag,CO2,0.13273000717163086
6,StemSnag,CH4,0.0011099999537691474
6,StemSnag,CO,0.013269999995827675
6,BranchSnag,AboveGroundFastSoil,0.6704599857330322
6,BranchSnag,CO2,0.2952300012111664
6,BranchSnag,CH4,0.0036800000816583633
6,BranchSnag,CO,0.029400000348687172
7,Merch,StemSnag,0.6739599704742432
7,Merch,CO2,0.29229000210762024
7,Merch,CH4,0.0031500000040978193
7,Merch,CO,0.029440000653266907
7,Foliage,CO2,0.8561499714851379
7,Foliage,CH4,0.012450000271201134
7,Foliage,CO,0.1300099939107895
7,Other,BranchSnag,0.4832000136375427
7,Other,CO2,0.46399998664855957
7,Other,CH4,0.004999999888241291
7,Other,CO,0.04600000008940697
7,CoarseRoots,AboveGroundFastSoil,0.5
7,CoarseRoots,BelowGroundFastSoil,0.5
7,FineRoots,AboveGroundVeryFastSoil,0.3483000099658966
7,FineRoots,BelowGroundVeryFastSoil,0.3483000099658966
7,FineRoots,CO2,0.2750000059604645
7,FineRoots,CO,0.02800000086426735
7,AboveGroundVeryFastSoil,CO2,0.9685999751091003
7,AboveGroundVeryFastSoil,CH4,0.003000000026077032
7,AboveGroundVeryFastSoil,CO,0.02800000086426735
7,BelowGroundVeryFastSoil,BelowGroundVeryFastSoil,1.0
7,AboveGroundFastSoil,AboveGroundFastSoil,0.6283400058746338
7,AboveGroundFastSoil,CO2,0.33281001448631287
7,AboveGroundFastSoil,CH4,0.0036299999337643385
7,AboveGroundFastSoil,CO,0.033890001475811005
7,BelowGroundFastSoil,BelowGroundFastSoil,1.0
7,MediumSoil,MediumSoil,0.8293799757957458
7,MediumSoil,CO2,0.15230000019073486
7,MediumSoil,CH4,0.0022100000642240047
7,MediumSoil,CO,0.015449999831616879
7,AboveGroundSlowSoil,AboveGroundSlowSoil,0.9229999780654907
7,AboveGroundSlowSoil,CO2,0.061000000685453415
7,AboveGroundSlowSoil,CH4,0.0020000000949949026
7,AboveGroundSlowSoil,CO,0.014000000432133675
7,BelowGroundSlowSoil,BelowGroundSlowSoil,1.0
7,StemSnag,MediumSoil,0.8293799757957458
7,StemSnag,CO2,0.15230000019073486
7,StemSnag,CH4,0.0022100000642240047
7,StemSnag,CO,0.015449999831616879
7,BranchSnag,AboveGroundFastSoil,0.6283400058746338
7,BranchSnag,CO2,0.33281001448631287
7,BranchSnag,CH4,0.0036299999337643385
7,BranchSnag,CO,0.033890001475811005
8,Merch,StemSnag,0.6944199800491333
8,Merch,CO2,0.27397000789642334
8,Merch,CH4,0.003160000080242753
8,Merch,CO,0.027400000020861626
8,Foliage,CO2,0.8550300002098083
8,Foliage,CH4,0.01331000030040741
8,Foliage,CO,0.1301800012588501
8,Other,BranchSnag,0.5163000226020813
8,Other,CO2,0.4339999854564667
8,Other,CH4,0.004999999888241291
8,Other,CO,0.0430000014603138
8,CoarseRoots,AboveGroundFastSoil,0.5
8,CoarseRoots,BelowGroundFastSoil,0.5
8,FineRoots,AboveGroundVeryFastSoil,0.3808000087738037
8,FineRoots,BelowGroundVeryFastSoil,0.3808000087738037
8,FineRoots,CO2,0.2160000056028366
8,FineRoots,CO,0.02199999988079071
8,AboveGroundVeryFastSoil,CO2,0.9757000207901001
8,AboveGroundVeryFastSoil,CH4,0.0020000000949949026
8,AboveGroundVeryFastSoil,CO,0.02199999988079071
8,BelowGroundVeryFastSoil,BelowGroundVeryFastSoil,1.0
8,AboveGroundFastSoil,AboveGroundFastSoil,0.7027000188827515
8,AboveGroundFastSoil,CO2,0.26657000184059143
8,AboveGroundFastSoil,CH4,0.002469999948516488
